Date,Name,Position,Seniority,Location,Studio,Client Tag,Project Tag,Team Name,Engagement,Leader Name,Engagement Group
2023-03-07,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,Ana Gomez,1
2023-03-08,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,Ana Gomez,1
2023-03-09,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,Ana Gomez,1
2023-03-10,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,Ana Gomez,1
2023-03-13,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.02,Ana Gomez,3
2023-03-14,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.74,Ana Gomez,2
2023-03-15,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.31,Ana Gomez,4
2023-03-16,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.49,Ana Gomez,4
2023-03-17,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.36,Ana Gomez,4
2023-03-21,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.64,Ana Gomez,2
2023-03-22,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.13,Ana Gomez,3
2023-03-23,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.44,Ana Gomez,4
2023-03-24,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.87,Ana Gomez,2
2023-03-27,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.71,Ana Gomez,2
2023-03-28,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.54,Ana Gomez,4
2023-03-29,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.06,Ana Gomez,3
2023-03-30,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.2,Ana Gomez,3
2023-03-31,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.78,Ana Gomez,2
2023-04-03,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.25,Ana Gomez,3
2023-04-04,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.15,Ana Gomez,3
2023-04-05,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.17,Ana Gomez,3
2023-04-06,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.84,Ana Gomez,2
2023-04-10,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.62,Ana Gomez,2
2023-04-11,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.3,Ana Gomez,4
2023-04-12,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.27,Ana Gomez,3
2023-04-13,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.97,Ana Gomez,3
2023-04-14,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.46,Ana Gomez,4
2023-04-17,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.64,Ana Gomez,2
2023-04-18,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.2,Ana Gomez,3
2023-04-19,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.2,Ana Gomez,3
2023-04-20,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.12,Ana Gomez,3
2023-04-21,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.98,Ana Gomez,3
2023-04-24,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.13,Ana Gomez,3
2023-04-25,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.47,Ana Gomez,4
2023-04-26,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.05,Ana Gomez,3
2023-04-27,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.08,Ana Gomez,3
2023-04-28,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.24,Ana Gomez,3
2023-04-29,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.08,Ana Gomez,3
2023-05-02,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.09,Ana Gomez,3
2023-05-03,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.19,Ana Gomez,3
2023-05-04,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,Ana Gomez,1
2023-05-05,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,Ana Gomez,1
2023-05-06,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,0.07,Ana Gomez,1
2023-05-08,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.28,Ana Gomez,3
2023-05-09,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.64,Ana Gomez,2
2023-05-10,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.25,Ana Gomez,3
2023-05-11,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.83,Ana Gomez,2
2023-05-12,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.4,Ana Gomez,4
2023-05-13,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.11,Ana Gomez,3
2023-05-15,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.42,Ana Gomez,4
2023-05-16,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.58,Ana Gomez,2
2023-05-17,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.34,Ana Gomez,4
2023-05-18,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.82,Ana Gomez,2
2023-05-19,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.38,Ana Gomez,4
2023-05-20,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.37,Ana Gomez,4
2023-05-22,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.87,Ana Gomez,2
2023-05-23,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.62,Ana Gomez,2
2023-05-24,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.88,Ana Gomez,2
2023-05-25,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.89,Ana Gomez,3
2023-05-26,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.35,Ana Gomez,4
2023-05-27,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.06,Ana Gomez,3
2023-05-29,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.15,Ana Gomez,3
2023-05-30,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.3,Ana Gomez,4
2023-05-31,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.05,Ana Gomez,3
2023-06-01,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.0,Ana Gomez,3
2023-06-02,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.52,Ana Gomez,4
2023-06-03,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.25,Ana Gomez,3
2023-06-05,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.94,Ana Gomez,3
2023-06-06,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.8,Ana Gomez,2
2023-06-07,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.65,Ana Gomez,2
2023-06-08,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.14,Ana Gomez,3
2023-01-02,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.24,Laura Leon,5
2023-01-03,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.43,Laura Leon,5
2023-01-04,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.5,Laura Leon,5
2023-01-05,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.43,Laura Leon,5
2023-01-06,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.48,Laura Leon,5
2023-01-09,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.07,Laura Leon,5
2023-01-10,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.08,Laura Leon,5
2023-01-11,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.16,Laura Leon,5
2023-01-12,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.34,Laura Leon,5
2023-01-13,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.07,Laura Leon,5
2023-01-16,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.25,Laura Leon,5
2023-01-17,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.07,Laura Leon,5
2023-01-18,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.38,Laura Leon,5
2023-01-19,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.2,Laura Leon,5
2023-01-20,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.43,Laura Leon,5
2023-01-23,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.26,Laura Leon,5
2023-01-24,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.13,Laura Leon,5
2023-01-25,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.48,Laura Leon,5
2023-01-26,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.11,Laura Leon,5
2023-01-27,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.35,Laura Leon,5
2023-01-30,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.29,Laura Leon,5
2023-01-31,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.27,Laura Leon,5
2023-02-01,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.24,Valeria Diaz,5
2023-02-02,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.27,Valeria Diaz,5
2023-02-03,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.36,Valeria Diaz,5
2023-02-07,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.15,Valeria Diaz,5
2023-02-08,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.29,Valeria Diaz,5
2023-02-09,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.11,Valeria Diaz,5
2023-02-10,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.37,Valeria Diaz,5
2023-02-13,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.53,Valeria Diaz,5
2023-02-14,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.32,Valeria Diaz,5
2023-02-15,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.23,Valeria Diaz,5
2023-02-16,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.29,Valeria Diaz,5
2023-02-17,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.41,Valeria Diaz,5
2023-02-20,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.31,Valeria Diaz,5
2023-02-21,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.37,Valeria Diaz,5
2023-02-22,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.05,Valeria Diaz,5
2023-02-23,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.44,Valeria Diaz,5
2023-02-24,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.53,Valeria Diaz,5
2023-02-27,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.37,Valeria Diaz,5
2023-02-28,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.39,Valeria Diaz,5
2023-03-01,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.5,Ana Gomez,5
2023-03-02,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.46,Ana Gomez,5
2023-03-03,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.48,Ana Gomez,5
2023-03-06,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.38,Ana Gomez,5
2023-03-07,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.32,Ana Gomez,5
2023-03-08,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.5,Ana Gomez,5
2023-03-09,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.37,Ana Gomez,5
2023-03-10,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.33,Ana Gomez,5
2023-03-13,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.16,Ana Gomez,5
2023-03-14,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.44,Ana Gomez,5
2023-03-15,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.04,Ana Gomez,5
2023-03-16,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.18,Ana Gomez,5
2023-03-17,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.1,Ana Gomez,5
2023-03-21,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.33,Ana Gomez,5
2023-03-22,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.22,Ana Gomez,5
2023-03-23,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.42,Ana Gomez,5
2023-03-24,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.37,Ana Gomez,5
2023-03-27,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.06,Ana Gomez,5
2023-03-28,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.28,Ana Gomez,5
2023-03-29,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.38,Ana Gomez,5
2023-03-30,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.33,Ana Gomez,5
2023-03-31,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.07,Ana Gomez,5
2023-04-03,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.18,Ana Gomez,5
2023-04-04,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.16,Ana Gomez,5
2023-04-05,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GWI001,ATLINT,Breaking Badger,4.04,Ana Gomez,5
